"time","p01","estimator"
365.25,0,"AaJ"
367.5,0,"AaJ"
372,0.00529100529100529,"AaJ"
376,0.00529100529100529,"AaJ"
377.5,0.00503905265810028,"AaJ"
409,0.010566527459318,"AaJ"
430,0.010566527459318,"AaJ"
466,0.016287394611977,"AaJ"
481.5,0.0155470584932507,"AaJ"
484,0.0214772256636899,"AaJ"
489,0.0274439988043169,"AaJ"
491.5,0.0261965443132116,"AaJ"
502,0.0322383712040352,"AaJ"
511,0.0383186810686856,"AaJ"
515.5,0.0366526514570036,"AaJ"
543,0.0366526514570036,"AaJ"
551,0.0431951470377172,"AaJ"
551.5,0.0413170971665121,"AaJ"
569,0.0413170971665121,"AaJ"
576,0.0480980336522695,"AaJ"
583.5,0.0458076510973995,"AaJ"
612.5,0.0435172685425295,"AaJ"
613,0.0435172685425295,"AaJ"
632,0.0435172685425295,"AaJ"
656,0.0505582503388459,"AaJ"
713,0.0505582503388459,"AaJ"
786.5,0.0475842356130314,"AaJ"
800,0.0475842356130314,"AaJ"
801,0.0475842356130314,"AaJ"
806,0.0475842356130314,"AaJ"
837,0.0575342253249254,"AaJ"
856.5,0.0539383362421176,"AaJ"
906,0.0539383362421176,"AaJ"
933,0.0539383362421176,"AaJ"
997,0.0539383362421176,"AaJ"
1011,0.0539383362421176,"AaJ"
1067,0.0539383362421176,"AaJ"
1175.5,0.0479451877707712,"AaJ"
1362.5,0.0383561502166169,"AaJ"
1508,0.0383561502166169,"AaJ"
365.25,0,"LM AaJ"
372,0.00529100529100527,"LM AaJ"
376,0.00529100529100527,"LM AaJ"
409,0.0108184800922231,"LM AaJ"
430,0.0108184800922231,"LM AaJ"
466,0.0165393472448821,"LM AaJ"
481.5,0.011026231496588,"LM AaJ"
484,0.0169563986670272,"LM AaJ"
489,0.0229231718076541,"LM AaJ"
491.5,0.0171923788557406,"LM AaJ"
502,0.0232342057465642,"LM AaJ"
511,0.0293145156112147,"LM AaJ"
515.5,0.0234516124889717,"LM AaJ"
543,0.0234516124889717,"LM AaJ"
551,0.0299941080696853,"LM AaJ"
551.5,0.0239952864557482,"LM AaJ"
569,0.0239952864557482,"LM AaJ"
576,0.0307762229415056,"LM AaJ"
583.5,0.0246209783532045,"LM AaJ"
613,0.0246209783532045,"LM AaJ"
632,0.0246209783532045,"LM AaJ"
656,0.0316619601495208,"LM AaJ"
713,0.0316619601495208,"LM AaJ"
800,0.0316619601495208,"LM AaJ"
801,0.0316619601495208,"LM AaJ"
806,0.0316619601495208,"LM AaJ"
837,0.0416119498614147,"LM AaJ"
856.5,0.0346766248845123,"LM AaJ"
906,0.0346766248845123,"LM AaJ"
933,0.0346766248845123,"LM AaJ"
997,0.0346766248845123,"LM AaJ"
1011,0.0346766248845123,"LM AaJ"
1067,0.0346766248845123,"LM AaJ"
1362.5,0,"LM AaJ"
1508,0,"LM AaJ"
365.25,0,"LM Pepe"
366.05,0,"LM Pepe"
366.85,0,"LM Pepe"
367.65,0,"LM Pepe"
368.45,0,"LM Pepe"
369.25,0,"LM Pepe"
370.05,0,"LM Pepe"
370.85,0,"LM Pepe"
371.65,0,"LM Pepe"
372.45,0.00529100529100535,"LM Pepe"
373.25,0.00529100529100535,"LM Pepe"
374.05,0.00529100529100535,"LM Pepe"
374.85,0.00529100529100535,"LM Pepe"
375.65,0.00529100529100535,"LM Pepe"
376.45,0.00529100529100535,"LM Pepe"
377.25,0.00529100529100535,"LM Pepe"
378.05,0.00529100529100535,"LM Pepe"
378.85,0.00529100529100535,"LM Pepe"
379.65,0.00529100529100535,"LM Pepe"
380.45,0.00529100529100535,"LM Pepe"
381.25,0.00529100529100535,"LM Pepe"
382.05,0.00529100529100535,"LM Pepe"
382.85,0.00529100529100535,"LM Pepe"
383.65,0.00529100529100535,"LM Pepe"
384.45,0.00529100529100535,"LM Pepe"
385.25,0.00529100529100535,"LM Pepe"
386.05,0.00529100529100535,"LM Pepe"
386.85,0.00529100529100535,"LM Pepe"
387.65,0.00529100529100535,"LM Pepe"
388.45,0.00529100529100535,"LM Pepe"
389.25,0.00529100529100535,"LM Pepe"
390.05,0.00529100529100535,"LM Pepe"
390.85,0.00529100529100535,"LM Pepe"
391.65,0.00529100529100535,"LM Pepe"
392.45,0.00529100529100535,"LM Pepe"
393.25,0.00529100529100535,"LM Pepe"
394.05,0.00529100529100535,"LM Pepe"
394.85,0.00529100529100535,"LM Pepe"
395.65,0.00529100529100535,"LM Pepe"
396.45,0.00529100529100535,"LM Pepe"
